Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,128_C/127_N,128_C/127_N Count,128_C/127_N Variability [%],128_N/126,128_N/126 Count,128_N/126 Variability [%],129_N/127_C,129_N/127_C Count,129_N/127_C Variability [%],"Score A(4,11)","Coverage A(4,11)","# Peptides A(4,11)","# PSM A(4,11)","Score A(7,9,12,14)","Coverage A(7,9,12,14)","# Peptides A(7,9,12,14)","# PSM A(7,9,12,14)","Score B(3,6,11,13,17,18)","Coverage B(3,6,11,13,17,18)","# Peptides B(3,6,11,13,17,18)","# PSM B(3,6,11,13,17,18)","Score B(8,10,15)","Coverage B(8,10,15)","# Peptides B(8,10,15)","# PSM B(8,10,15)",# AAs,MW [kDa],calc. pI
P05187,"Alkaline phosphatase, placental type OS=Homo sapiens GN=ALPP PE=1 SV=2 - [PPB1_HUMAN]",57.76,1,7,23,185,5.148,4;20,46.5,3.797,3;20,52.9,3.813,5;20,49.7,793.24 ,35.51,18,30,148.44 ,35.51,23,38,140.39 ,52.90,25,58,1279.67 ,52.90,23,59,535,57.9,6.29
P0C7T2,Olfactory receptor 2T7 OS=Homo sapiens GN=OR2T7 PE=3 SV=1 - [OR2T7_HUMAN],6.82,2,1,1,1,5.021,-;1,,0.853,-;1,,0.955,-;1,,,,,,,,,,0.00 ,6.82,1,1,,,,,308,34.3,8.22
P25106,Atypical chemokine receptor 3 OS=Homo sapiens GN=ACKR3 PE=1 SV=3 - [ACKR3_HUMAN],3.59,1,1,1,4,5.016,-;2,,3.977,-;2,,5.699,-;2,,,,,,,,,,2.91 ,3.59,1,2,47.31 ,3.59,1,2,362,41.5,7.58
Q5T0B9,Zinc finger protein 362 OS=Homo sapiens GN=ZNF362 PE=1 SV=1 - [ZN362_HUMAN],5.95,1,1,2,6,4.697,-;1,,0.779,-;1,,0.546,-;1,,,,,,,,,,5.56 ,5.95,2,3,83.58 ,5.95,2,3,420,45.8,9.64
Q8N5C1,Protein FAM26E OS=Homo sapiens GN=FAM26E PE=2 SV=1 - [FA26E_HUMAN],11.33,1,4,4,8,4.598,-;4,,3.390,-;4,,3.865,-;4,,,,,,,,,,9.28 ,11.33,4,4,53.95 ,11.33,4,4,309,35.1,8.13
O94823,Probable phospholipid-transporting ATPase VB OS=Homo sapiens GN=ATP10B PE=2 SV=2 - [AT10B_HUMAN],1.37,1,1,1,3,4.594,-;1,,0.880,-;1,,,,,,,,,,,,,,,,,35.49 ,1.37,1,3,1461,165.3,6.89
Q96NW7,Leucine-rich repeat-containing protein 7 OS=Homo sapiens GN=LRRC7 PE=1 SV=1 - [LRRC7_HUMAN],6.83,1,5,8,36,4.565,-;5,,5.373,-;5,,2.638,-;5,,118.93 ,1.63,2,3,15.38 ,1.63,4,6,40.58 ,6.44,9,13,296.67 ,6.83,9,14,1537,172.5,6.81
P78559,Microtubule-associated protein 1A OS=Homo sapiens GN=MAP1A PE=1 SV=6 - [MAP1A_HUMAN],28.40,1,52,53,165,4.536,3;61,27.2,2.924,3;63,41.0,3.324,3;63,24.2,68.50 ,1.46,3,3,11.73 ,1.46,3,3,151.86 ,28.40,59,85,847.31 ,25.12,46,74,2803,305.3,4.92
P02656,Apolipoprotein C-III OS=Homo sapiens GN=APOC3 PE=1 SV=1 - [APOC3_HUMAN],16.16,1,1,1,2,4.535,-;1,,3.944,-;1,,2.628,-;1,,,,,,,,,,2.80 ,16.16,1,1,75.66 ,16.16,1,1,99,10.8,5.41
P52943,Cysteine-rich protein 2 OS=Homo sapiens GN=CRIP2 PE=1 SV=1 - [CRIP2_HUMAN],35.58,1,5,5,10,4.376,-;5,,4.043,1;5,0.2,4.661,1;5,11.4,66.53 ,7.69,1,1,6.29 ,7.69,1,1,14.27 ,35.58,5,5,86.56 ,27.88,3,3,208,22.5,8.72
Q9NZ56,Formin-2 OS=Homo sapiens GN=FMN2 PE=1 SV=4 - [FMN2_HUMAN],2.67,2,2,4,6,4.375,-;2,,3.256,-;2,,1.081,-;1,,0.00 ,0.35,1,1,,,,,2.28 ,1.97,3,3,0.00 ,1.34,2,2,1722,180.0,5.47
Q9NQ84,G-protein coupled receptor family C group 5 member C OS=Homo sapiens GN=GPRC5C PE=1 SV=2 - [GPC5C_HUMAN],9.98,1,3,3,7,4.350,-;4,,2.459,-;3,,1.726,-;3,,,,,,,,,,5.25 ,9.98,3,4,46.00 ,7.48,2,3,441,48.2,8.43
Q8WWU5,T-complex protein 11 homolog OS=Homo sapiens GN=TCP11 PE=2 SV=1 - [TCP11_HUMAN],5.96,1,1,1,1,4.315,-;1,,2.194,-;1,,0.746,-;1,,,,,,,,,,2.49 ,5.96,1,1,,,,,503,56.1,5.17
A1L4H1,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D OS=Homo sapiens GN=SSC5D PE=2 SV=3 - [SRCRL_HUMAN],4.70,1,5,5,9,4.315,-;5,,1.762,-;5,,2.432,-;5,,,,,,,,,,8.00 ,4.70,5,5,86.25 ,3.62,4,4,1573,165.6,6.13
Q7Z794,"Keratin, type II cytoskeletal 1b OS=Homo sapiens GN=KRT77 PE=2 SV=3 - [K2C1B_HUMAN]",8.82,2,2,7,46,4.306,-;2,,1.344,-;2,,1.360,-;2,,36.35 ,3.11,3,4,14.85 ,3.11,4,4,45.82 ,8.82,9,20,195.31 ,8.48,6,18,578,61.9,5.99
P48668,"Keratin, type II cytoskeletal 6C OS=Homo sapiens GN=KRT6C PE=1 SV=3 - [K2C6C_HUMAN]",33.87,6,4,20,231,4.223,-;5,,0.583,-;5,,0.863,-;5,,216.26 ,8.33,9,28,115.49 ,8.33,12,32,164.16 ,33.87,25,113,735.18 ,29.79,20,58,564,60.0,8.00
Q14192,Four and a half LIM domains protein 2 OS=Homo sapiens GN=FHL2 PE=1 SV=3 - [FHL2_HUMAN],63.08,1,16,16,56,4.188,6;21,45.8,4.627,6;21,38.6,4.094,6;21,39.2,129.55 ,20.79,6,6,24.06 ,18.64,8,8,55.63 ,56.27,15,20,181.71 ,58.78,16,22,279,32.2,7.55
O14647,Chromodomain-helicase-DNA-binding protein 2 OS=Homo sapiens GN=CHD2 PE=1 SV=2 - [CHD2_HUMAN],16.14,2,16,22,52,4.152,-;17,,2.805,-;17,,2.700,-;17,,,,,,,,,,56.45 ,15.43,22,27,250.65 ,12.64,17,25,1828,211.2,8.10
O60675,Transcription factor MafK OS=Homo sapiens GN=MAFK PE=1 SV=1 - [MAFK_HUMAN],23.72,1,2,3,6,4.143,-;2,,1.513,-;2,,1.269,-;2,,,,,,,,,,8.59 ,23.72,3,4,31.96 ,19.23,2,2,156,17.5,10.10
Q9UNA0,A disintegrin and metalloproteinase with thrombospondin motifs 5 OS=Homo sapiens GN=ADAMTS5 PE=1 SV=2 - [ATS5_HUMAN],23.66,1,15,15,36,4.044,-;18,,3.819,-;18,,3.969,-;18,,58.21 ,2.47,1,1,7.06 ,2.47,1,1,52.47 ,23.66,15,18,349.90 ,22.69,13,16,930,101.7,8.85
Q14194,Dihydropyrimidinase-related protein 1 OS=Homo sapiens GN=CRMP1 PE=1 SV=1 - [DPYL1_HUMAN],10.49,1,2,4,36,3.954,-;2,,2.470,-;2,,2.295,-;2,,257.46 ,5.07,4,5,29.91 ,5.07,4,6,36.04 ,10.49,4,12,303.90 ,10.49,4,13,572,62.1,7.03
Q9ULR5,Polyadenylate-binding protein-interacting protein 2B OS=Homo sapiens GN=PAIP2B PE=1 SV=2 - [PAI2B_HUMAN],14.63,1,1,1,4,3.939,-;1,,1.884,-;1,,2.251,-;1,,31.70 ,14.63,1,1,4.08 ,14.63,1,1,2.45 ,14.63,1,1,0.00 ,14.63,1,1,123,14.2,4.17
Q99962,Endophilin-A1 OS=Homo sapiens GN=SH3GL2 PE=1 SV=1 - [SH3G2_HUMAN],33.52,1,5,13,52,3.832,1;7,29.1,3.807,1;7,10.0,3.532,1;7,10.0,200.42 ,19.89,9,10,43.47 ,21.88,10,11,45.74 ,33.52,11,16,154.05 ,32.39,10,15,352,39.9,5.45
P50225,Sulfotransferase 1A1 OS=Homo sapiens GN=SULT1A1 PE=1 SV=3 - [ST1A1_HUMAN],35.25,1,3,8,46,3.762,-;5,,4.290,-;5,,3.855,-;5,,66.45 ,6.10,4,4,15.09 ,6.10,4,4,50.48 ,27.80,7,19,130.79 ,29.49,7,19,295,34.1,6.62
Q92736,Ryanodine receptor 2 OS=Homo sapiens GN=RYR2 PE=1 SV=3 - [RYR2_HUMAN],0.36,1,1,1,2,3.742,-;1,,0.287,-;1,,0.336,-;1,,,,,,,,,,,,,,0.00 ,0.36,1,2,4967,564.2,6.07
P19878,Neutrophil cytosol factor 2 OS=Homo sapiens GN=NCF2 PE=1 SV=2 - [NCF2_HUMAN],10.46,1,3,4,11,3.683,-;2,,3.243,-;2,,2.529,-;2,,24.53 ,2.09,1,1,3.80 ,2.09,1,1,9.36 ,8.37,3,5,73.13 ,8.37,3,4,526,59.7,6.16
P29373,Cellular retinoic acid-binding protein 2 OS=Homo sapiens GN=CRABP2 PE=1 SV=2 - [RABP2_HUMAN],50.00,2,6,6,116,3.626,4;37,1.9,4.218,4;36,30.0,3.107,4;40,21.6,242.01 ,33.33,7,18,56.27 ,28.26,5,16,61.36 ,50.00,7,40,674.63 ,50.00,7,42,138,15.7,5.40
P08779,"Keratin, type I cytoskeletal 16 OS=Homo sapiens GN=KRT16 PE=1 SV=4 - [K1C16_HUMAN]",42.49,5,8,20,119,3.618,-;6,,1.358,-;6,,1.240,-;6,,180.61 ,10.99,12,22,68.13 ,10.99,11,21,88.94 ,42.49,20,40,567.67 ,33.19,17,36,473,51.2,5.05
Q96M86,Dynein heavy chain domain-containing protein 1 OS=Homo sapiens GN=DNHD1 PE=2 SV=2 - [DNHD1_HUMAN],0.55,1,1,1,10,3.607,-;1,,0.414,-;1,,0.420,-;1,,,,,,,,,,,,,,22.26 ,0.55,1,10,4753,533.3,6.71
Q99988,Growth/differentiation factor 15 OS=Homo sapiens GN=GDF15 PE=1 SV=3 - [GDF15_HUMAN],44.81,1,10,10,40,3.604,4;11,35.1,2.498,4;11,37.3,3.156,4;11,52.6,208.99 ,16.56,7,8,35.33 ,16.56,8,9,42.93 ,40.91,10,12,192.14 ,30.52,8,11,308,34.1,9.66
O75689,Arf-GAP with dual PH domain-containing protein 1 OS=Homo sapiens GN=ADAP1 PE=1 SV=2 - [ADAP1_HUMAN],10.43,1,2,2,3,3.583,-;1,,1.129,-;1,,1.154,-;1,,,,,,,,,,6.90 ,10.43,2,2,23.13 ,5.61,1,1,374,43.4,8.97
P13598,Intercellular adhesion molecule 2 OS=Homo sapiens GN=ICAM2 PE=1 SV=2 - [ICAM2_HUMAN],3.64,1,1,1,2,3.567,-;1,,2.737,-;1,,3.217,-;1,,,,,,,,,,2.80 ,3.64,1,1,47.78 ,3.64,1,1,275,30.6,7.43
O75781,Paralemmin-1 OS=Homo sapiens GN=PALM PE=1 SV=2 - [PALM_HUMAN],28.17,1,8,10,29,3.529,-;12,,2.326,-;11,,2.710,-;11,,0.00 ,1.55,1,1,2.87 ,1.55,1,1,35.44 ,26.61,10,13,103.17 ,25.84,9,14,387,42.1,5.00
P16860,Natriuretic peptides B OS=Homo sapiens GN=NPPB PE=1 SV=1 - [ANFB_HUMAN],33.58,1,3,3,9,3.515,-;3,,3.133,-;3,,3.571,-;3,,83.25 ,18.66,1,1,6.39 ,18.66,2,2,5.57 ,33.58,3,3,55.85 ,33.58,3,3,134,14.7,10.33
Q8TBC5,Zinc finger and SCAN domain-containing protein 18 OS=Homo sapiens GN=ZSCAN18 PE=2 SV=2 - [ZSC18_HUMAN],19.80,1,6,6,20,3.511,-;5,,2.090,-;6,,2.400,-;6,,,,,,,,,,16.92 ,19.80,6,10,56.56 ,19.80,6,10,510,54.8,4.82
P05121,Plasminogen activator inhibitor 1 OS=Homo sapiens GN=SERPINE1 PE=1 SV=1 - [PAI1_HUMAN],51.24,1,19,19,150,3.510,11;53,44.2,3.074,11;53,47.5,3.183,11;54,53.5,275.63 ,31.84,18,20,78.16 ,31.84,18,21,124.89 ,47.51,19,57,854.19 ,46.02,16,52,402,45.0,7.20
P08727,"Keratin, type I cytoskeletal 19 OS=Homo sapiens GN=KRT19 PE=1 SV=4 - [K1C19_HUMAN]",81.25,5,28,43,671,3.450,35;179,30.3,3.270,34;180,46.6,3.120,33;180,39.2,1627.51 ,61.00,50,98,408.89 ,62.50,54,102,613.97 ,72.00,52,240,4633.52 ,74.00,45,231,400,44.1,5.14
Q9UI42,Carboxypeptidase A4 OS=Homo sapiens GN=CPA4 PE=1 SV=2 - [CBPA4_HUMAN],20.43,1,5,5,12,3.443,-;6,,3.630,-;6,,2.988,-;6,,,,,,,,,,12.97 ,20.43,5,6,71.34 ,20.43,5,6,421,47.3,6.70
Q96CX2,BTB/POZ domain-containing protein KCTD12 OS=Homo sapiens GN=KCTD12 PE=1 SV=1 - [KCD12_HUMAN],25.54,1,7,7,18,3.443,-;8,,2.560,-;8,,2.701,-;8,,30.58 ,3.69,1,1,4.75 ,3.69,1,1,24.03 ,25.54,7,8,121.27 ,25.54,7,8,325,35.7,5.64
Q9P2X3,Protein IMPACT OS=Homo sapiens GN=IMPACT PE=1 SV=2 - [IMPCT_HUMAN],10.31,1,3,3,5,3.354,1;1,35.3,1.992,1;1,23.5,2.448,1;1,21.4,49.81 ,3.13,1,1,4.02 ,3.13,1,1,6.43 ,7.19,2,2,37.75 ,3.44,1,1,320,36.5,4.97
O95490,Latrophilin-2 OS=Homo sapiens GN=LPHN2 PE=1 SV=2 - [LPHN2_HUMAN],4.11,1,4,4,9,3.323,-;4,,1.829,-;4,,2.115,-;4,,,,,,,,,,11.77 ,4.11,4,5,69.14 ,4.11,4,4,1459,163.2,6.43
P40197,Platelet glycoprotein V OS=Homo sapiens GN=GP5 PE=1 SV=1 - [GPV_HUMAN],5.18,1,1,1,4,3.303,-;1,,0.257,-;1,,0.329,-;1,,,,,,,,,,0.00 ,5.18,1,4,,,,,560,60.9,9.63
P61952,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11 OS=Homo sapiens GN=GNG11 PE=1 SV=1 - [GBG11_HUMAN],10.96,2,1,1,5,3.279,1;1,4.4,3.514,1;1,7.6,3.164,1;1,11.6,27.14 ,10.96,1,1,5.77 ,10.96,2,2,2.44 ,10.96,1,1,36.96 ,10.96,1,1,73,8.5,5.54
Q15040,Josephin-1 OS=Homo sapiens GN=JOSD1 PE=1 SV=1 - [JOS1_HUMAN],9.41,1,1,1,2,3.272,-;1,,0.409,-;1,,0.592,-;1,,,,,,,,,,0.00 ,9.41,1,1,0.00 ,9.41,1,1,202,23.2,8.54
Q2M3D2,Exocyst complex component 3-like protein 2 OS=Homo sapiens GN=EXOC3L2 PE=2 SV=1 - [EX3L2_HUMAN],4.65,1,2,2,3,3.260,-;2,,2.287,-;2,,2.641,-;2,,,,,,,,,,5.49 ,4.65,2,2,56.29 ,2.20,1,1,409,45.8,7.71
Q7L311,Armadillo repeat-containing X-linked protein 2 OS=Homo sapiens GN=ARMCX2 PE=2 SV=1 - [ARMX2_HUMAN],26.27,1,13,13,41,3.242,2;17,35.4,3.312,2;17,36.1,3.471,2;17,30.6,63.35 ,3.80,2,2,14.89 ,3.80,4,4,62.18 ,24.68,12,18,349.31 ,23.58,11,17,632,65.6,8.53
Q96DT5,"Dynein heavy chain 11, axonemal OS=Homo sapiens GN=DNAH11 PE=1 SV=3 - [DYH11_HUMAN]",0.38,1,1,1,1,3.238,-;1,,0.522,-;1,,1.049,-;1,,,,,,,,,,,,,,0.00 ,0.38,1,1,4523,520.7,6.44
P49418,Amphiphysin OS=Homo sapiens GN=AMPH PE=1 SV=1 - [AMPH_HUMAN],12.37,2,6,7,21,3.217,-;6,,3.721,-;6,,3.099,-;6,,39.38 ,3.60,2,2,10.47 ,3.60,3,3,21.82 ,12.37,7,8,145.74 ,12.37,7,8,695,76.2,4.64
P78310,Coxsackievirus and adenovirus receptor OS=Homo sapiens GN=CXADR PE=1 SV=1 - [CXAR_HUMAN],32.33,1,11,11,33,3.200,3;14,20.3,2.645,1;14,11.0,3.860,2;14,22.7,32.56 ,11.23,3,3,9.65 ,11.23,3,3,38.92 ,30.14,11,13,212.38 ,30.14,11,14,365,40.0,7.56
Q8WVE0,N(6)-adenine-specific DNA methyltransferase 2 OS=Homo sapiens GN=N6AMT2 PE=1 SV=1 - [N6MT2_HUMAN],10.28,1,1,1,2,3.198,-;1,,0.497,-;1,,0.543,-;1,,,,,,,,,,3.75 ,10.28,1,1,0.00 ,10.28,1,1,214,24.5,4.55
O00339,Matrilin-2 OS=Homo sapiens GN=MATN2 PE=1 SV=4 - [MATN2_HUMAN],19.56,1,14,14,37,3.173,2;16,19.7,2.732,2;16,8.1,2.839,2;16,20.0,90.67 ,3.66,3,3,13.66 ,3.66,3,3,47.67 ,16.21,11,15,300.54 ,17.26,12,16,956,106.8,6.27
Q16719,Kynureninase OS=Homo sapiens GN=KYNU PE=1 SV=1 - [KYNU_HUMAN],12.90,1,6,6,11,3.136,-;5,,2.365,-;5,,2.359,-;5,,,,,,,,,,12.49 ,12.90,6,6,49.83 ,10.32,5,5,465,52.3,7.03
P05413,"Fatty acid-binding protein, heart OS=Homo sapiens GN=FABP3 PE=1 SV=4 - [FABPH_HUMAN]",10.53,2,2,2,6,3.128,-;3,,3.958,-;3,,3.800,-;3,,,,,,,,,,7.24 ,10.53,2,3,47.70 ,10.53,2,3,133,14.8,6.80
Q02252,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Homo sapiens GN=ALDH6A1 PE=1 SV=2 - [MMSA_HUMAN]",34.77,1,15,16,57,3.102,3;21,30.7,3.073,2;21,38.3,2.492,3;21,31.2,100.99 ,4.86,4,5,16.51 ,4.86,4,5,69.57 ,33.27,15,23,255.73 ,34.77,16,24,535,57.8,8.50
A6NDB9,Paralemmin-3 OS=Homo sapiens GN=PALM3 PE=1 SV=2 - [PALM3_HUMAN],1.78,1,1,1,1,3.089,-;1,,1.261,-;1,,1.370,-;1,,,,,,,,,,2.68 ,1.78,1,1,,,,,673,71.7,4.53
O76011,"Keratin, type I cuticular Ha4 OS=Homo sapiens GN=KRT34 PE=2 SV=2 - [KRT34_HUMAN]",45.41,2,7,13,28,3.076,-;6,,2.942,-;6,,2.516,-;6,,134.28 ,13.76,3,5,18.51 ,13.76,4,5,29.25 ,28.44,9,9,277.56 ,31.88,9,9,436,49.4,5.06
O75293,Growth arrest and DNA damage-inducible protein GADD45 beta OS=Homo sapiens GN=GADD45B PE=1 SV=1 - [GA45B_HUMAN],9.38,1,1,1,2,3.052,-;1,,0.506,-;1,,0.603,-;1,,,,,,,,,,3.42 ,9.38,1,1,0.00 ,9.38,1,1,160,17.8,4.44
Q02338,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial OS=Homo sapiens GN=BDH1 PE=1 SV=3 - [BDH_HUMAN]",20.41,1,5,5,21,3.022,1;9,18.5,3.663,1;9,56.7,2.888,1;9,17.0,38.91 ,2.92,1,1,5.90 ,2.92,2,2,27.73 ,20.41,6,9,165.85 ,20.41,5,9,343,38.1,8.95
Q05639,Elongation factor 1-alpha 2 OS=Homo sapiens GN=EEF1A2 PE=1 SV=1 - [EF1A2_HUMAN],79.91,1,15,31,1033,3.021,8;25,43.2,2.846,8;24,47.1,2.988,8;25,37.9,225.35 ,47.30,22,31,94.40 ,45.79,22,38,1566.97 ,74.95,34,495,8726.80 ,73.00,29,469,463,50.4,9.03
